date,commit,binary,size_bytes,gzip_bytes,delta_bytes,delta_gzip
2026-03-13T15:40:38Z,23030ed,target/release/ropy,27043472,10262065,,
2026-03-14T08:08:17Z,9b47465,target/release/ropy,27432016,10334765,388544,72700
2026-03-19T15:50:52Z,b4bfe3f,target/release/ropy,27450464,10341325,18448,6560
2026-03-20T09:39:33Z,18a6f78,target/release/ropy,27426848,10338980,-23616,-2345
2026-03-22T12:31:03Z,2f667f5,target/release/ropy,27412368,10324991,-14480,-13989
2026-03-23T03:11:24Z,63a7ffe,target/release/ropy,27416592,10326988,4224,1997
2026-03-23T07:17:38Z,24a8551,target/release/ropy,27399408,10322276,-17184,-4712
2026-03-23T08:28:48Z,b77d979,target/release/ropy,27428176,10325710,28768,3434
2026-03-23T15:23:00Z,850fb3b,target/release/ropy,27417792,10328878,-10384,3168
2026-03-23T16:31:43Z,abfe43a,target/release/ropy,27442752,10336563,24960,7685
2026-03-24T03:52:41Z,8fae7e5,target/release/ropy,27466112,10345963,23360,9400
2026-03-24T15:49:54Z,32bfac3,target/release/ropy,27446176,10341607,-19936,-4356
